Title;Author full names;Year;Author Keywords;Abstract;DOI
Feasibility assessment of an efficient hydrogen-freshwater cogeneration system for remote mining area based on solid oxide electrolysis cell;"Li, L; Ma, X J; Xu, W P; Hu, S H; Kari, T";2025;"CYCLE; HEAT; Hydrogen production; INTEGRATION; OPTIMIZATION; PERFORMANCE; Solid oxide electrolyzer; TECHNOECONOMIC ANALYSIS; Triple effect evaporation; Waste heat utilization";Power to gas is one of the effective pathways to levelling out fluctuations of renewable energy, and solid oxide electrolysis cells (SOECs) have attracted more attention owing to high electrolytic efficiency. However, thermal management of electrolysis process is the crucial part to ensuring the efficiency. In this paper, an efficient hydrogen-freshwater cogeneration system based on SOEC and triple-stage flash evaporation is proposed. The SOEC subsystem is employed to convert surplus electricity to hydrogen, and the triple-stage flash evaporation subsystem is established to the cascade utilization of waste heat from the former. Moreover, the mining wastewater can be recycled to produce fresh water in this process. The feasibility assessment of the proposed system is conducted based on the system thermodynamic model. The results indicate that among the factors influencing system performance, current density exhibits the most significant impact on electrical efficiency, while vapor concentration has a notable effect on hydraulic efficiency. Increasing the current density from 2000 A/m2 to 8000 A/m2 caused the electrical efficiency to rise from 30.36 % to 90.05 %. Meanwhile, increasing the vapor concentration from 0.05 % to 0.45 % led to an increase in exergy efficiency from 82.05 % to 87.06 %. The optimal pressures for the three-stage flash process are 0.6, 0.55 and 0.35 bar for the first, second and third stages, respectively. Compared to a single SOEC system, the integrated system achieves 17.55 % higher exergy efficiency with freshwater production of 160 kg/h. and hydrogen output of 57.96 kg/h. This demonstrates the technical feasibility of the integrated system.;10.1016/j.applthermaleng.2025.128522
Study of hydrogen gas production coupled with phenol electrochemical oxidation degradation at different stages;"Ma, W; Cheng, Z H; Gao, Z X; Wang, R; Wang, B D; Sun, Q";2014;"ANODIC-OXIDATION; COD; DYES; ELECTROHYDROLYSIS; Electrochemical oxidation degradation; Energy efficiency; Hydrogen gas production; Kinetic; ORGANICS; PESTICIDE; Phenol; REMOVAL; WASTE-WATER";Hydrogen gas production coupled with phenol electrochemical oxidation was investigated in a novel two-region equipment. The phenol degradation, COD removal, hydrogen production, kinetic, Instantaneous Current Efficiency for COD removal (ICECOD), and hydrogen gas yield (Y-H2) of simulated phenol solution electrochemical oxidation degradation at 3 V applied voltage were surveyed. The results indicated that three stages were observed during the electrochemical oxidation of simulated phenol in this study. The kinetic study showed that first order model well described each stage of phenol electrochemical oxidation process. The ICECOD increased slightly at the initial stage, and dramatically at the second stage, while fell at the finally stage, indicating water molecules were finally participated in the formation of hydrogen due to the degradation of phenol and COD. Hydrogen products from redox reaction of H+ which release from the degradation of organics oxidation reaction at the anode. Furthermore, the mechanism was discussed and showed that phenol transformed into benzoquinone intermediate in the first step, then the ring was broken and further oxidized into organic compounds like muconic acid, maleic acid or oxalic acid as intermediates in the followed stage, and finally disintegrated into CO2 and H2O in electrochemical oxidation process, which demonstrated by the UV and LC-MS images analysis. It could be seen that hydrogen gas production coupled with organic wastewaters electrochemical oxidation would be an effective approach for energy recovery and wastewater reutilization. Crown Copyright (C) 2013 Published by Elsevier B.V. All rights reserved.;10.1016/j.cej.2013.12.031
Ni(OH)2 as Hole Mediator for Visible Light-Induced Urea Splitting;"Zhao, R; Schumacher, G; Leahy, S; Radich, J G";2018;"CADMIUM-SULFIDE; HYDROGEN GENERATION; N-CDSE; NANOCRYSTAL QUANTUM DOTS; NANOPARTICLES; OPTICAL-PROPERTIES; PHOTOCORROSION; SEMICONDUCTOR NANOCRYSTALS; SOLAR CELLS.; WATER";Urea is a small molecule produced in millions of tons per day and is ubiquitous in nature. Biological treatment is commonly used to oxidize the urea wastewater produced each day across the world, which produces additional solid waste and eliminates any potential for utilizing the stored chemical energy within. A solar waste-to-fuels concept is presented to synergistically produce hydrogen fuel from visible sunlight while remediating urea wastewaters. A cascade semiconductor-catalyst electrode assembly was designed to drive the photo conversion of urea to hydrogen. Proper band energy alignment facilitates catalyst activation via hole transfer across the semiconductor catalyst interface. Specifically CdS-sensitized TiO2 with Ni(OH)(2) urea electrocatalyst on fluorine-doped tin oxide coated glass was employed as photoanode. The steady-state response of the semiconductor catalyst electrode is investigated in a photoelectrochemical cell, and charge transfer and recombination kinetics are elucidated to identify limiting charge-transfer reactions within the electrode architecture. Back electron transfer from semiconductor to catalyst is found to be competitive with urea oxidation reaction, which hinders steady-state photoconversion efficiency. Furthermore, the photoanode rapidly decomposes in urea electrolyte solutions as a result of the water-mediated photocorrosion of chalcogenide electrodes. Passivation of CdS with ZnS prior to catalyst deposition significantly improves open-circuit potential and photostability.;10.1021/acs.jpcc.8b01116
Electronic modulation of nitride/hydroxide heterostructure for long-lasting urea oxidation reaction over 1000 h;"Niu, X J; Qian, G S; Bai, Y; Sun, S B; Zhou, L; Jiao, W Y; Li, J S";2026;"Heterostructure; Long-term stability; Nickel-iron based materials; Structure reconstruction; Urea electro-oxidation";The oxidation of urea holds great promise for the conversion of urea-rich wastewater into hydrogen (H2), thereby contributing to sustainable energy generation and environmental remediation. Consequently, it is of great significance to develop highly efficient and durable electrocatalysts toward urea oxidation reaction (UOR). Herein, a self-supported TiN@NiFe layered double hydroxide (LDH) heterostructure is elaborately designed and constructed through a facile three-step approach, wherein NiFe LDH nanosheets were grown in situ on TiN nanorod arrays. Benefitting from the synergistic contribution of component and heterostructure, the targeted TiN@NiFe LDH demonstrates exceptional catalytic performance for both the oxygen evolution reaction (OER) and UOR, achieving lower overpotentials of 251 +/- 2.5 mV and 148 mV to reach a current density of 100 mA cm- 2 along with impressive long-term durability exceeding 1000 h, respectively. Additionally, the electrolyzer assembled by anodic TiN@NiFe LDH and cathodic Pt/C requires an ultralow voltage of 1.58 V at 100 mA cm- 2 toward the urea electrolysis, excelling most urea-assisted water splitting devices previously reported. In situ Raman spectroscopy analyses reveal that the formation of the heterointerface in TiN@NiFe LDH facilitates interfacial charge transfer, which effectively facilities the surface reconstruction of NiFe LDH, thus boosting the kinetics of the UOR. DFT calculations confirm that the heterostructure lowers the reaction energy barrier of the rate-determining step, resulting in marked enhancement of catalytic UOR performance. Importantly, this work affords a new route in the design of NiFe-based electrocatalysts with improved catalytic activity and durability for green H2 production.;10.1016/j.cej.2026.173038
Robust and Highly Efficient Electrochemical Hydrogen Production from Hydrazine-Assisted Water Electrolysis Enabled by the Metal-Support Interaction of Ru/C Composites;"Wang, W T; Qian, Q Z; Li, Y P; Zhu, Y; Feng, Y F; Cheng, M Y; Zhang, H K; Zhang, Y Y; Zhang, G Q";2023;"BATTERIES; CATALYSTS; EVOLUTION; FUTURE; hybrid water electrolysis; hydrazine oxidation reaction; hydrogenevolution reaction; ruthenium-carboncomposite; theoreticalcalculations";Hydrazineoxidation-assisted water electrolysis provides a promisingway for the energy-efficient electrochemical hydrogen (H-2) and synchronous decomposition of hydrazine-rich wastewater, butthe development of highly active catalysts still remains a great challenge.Here, we demonstrate the robust and highly active Ru nanoparticlessupported on the hollow N-doped carbon microtube (denoted as Ru NPs/H-NCMT)composite structure as HER and HzOR bifunctional electrocatalysts.Thanks to such unique hierarchical architectures, the as-synthesizedRu NPs/H-NCMTs exhibit prominent electrocatalytic activity in thealkaline condition, which needs a low overpotential of 29 mV at 10mA cm(-2) for HER and an ultrasmall working potentialof -0.06 V (vs RHE) to attain the same current density forHzOR. In addition, assembling a two-electrode hybrid electrolyzerusing as-prepared Ru NPs/H-NCMT catalysts shows a small cell voltageof mere 0.108 V at 100 mA cm(-2), as well as the remarkablelong-term stability. Density functional theory calculations furtherreveal that the Ru NPs serve as the active sites for both the HERand HzOR in the nanocomposite, which facilitates the adsorption ofH atoms and hydrazine dehydrogenation kinetics, thus enhancing theperformances of HER and HzOR. This work paves a novel avenue to developefficient and stable electrocatalysts toward HER and HzOR that promisesenergy-saving hybrid water electrolysis electrochemical H-2 production.;10.1021/acsami.3c04342
The CoSe2 hollow cube/CoSe2 nanosheet interface catalyst for efficient electrolysis of urea-assisted hydrogen production at industrial-grade currents;"Lu, B R; Li, Z; Yin, J L; Zhu, K; Ye, K";2024;"Avoid CSOR; BIFUNCTIONAL ELECTROCATALYST; Interface strategy; Urea -rich water purification; Urea oxidation reaction; WATER";Cobalt-based catalysts are regarded as the most innovative catalyst in the urea oxidation reaction (UOR). Nevertheless, the activity limitation of Co-based catalysts by the unavoidable self-oxidation reaction of Co species (CSOR) during UOR is generally ignored. Therefore, the interface strategy was used to synthesize a CoSe2 hollow cube (HC)/CoSe2 nanosheet (NS) homogeneous interface catalyst to achieve bifunctional UOR and HER performance. In situ EIS, ex situ Raman spectroscopy, and ex situ XPS analysis verify the unique mechanism of the CoSe2 HC/CoSe2 NS interface in triggering UOR. Electrochemical activity tests demonstrated that CoSe2 HC/CoSe2 NS requires only 1.27 and 1.32 V of cell voltage to reach 10 mA cm(-2) in the overall urea electrolyzer (UOR || HER) and overall human urine electrolyzer (HUOR || HER) regimes, respectively. Moreover, under an industrial-grade current (500 mA cm(-2)), the cell voltage can be maintained at < 2 V for 110 h. Ultraviolet (UV) spectroscopy confirms the potential of CoSe2 HC/CoSe2 NS to degrade urea wastewater. Software simulations reveal the advantages of the unique interface strategy of CoSe2 HC/CoSe2 NS in the UOR process.;10.1016/j.apcatb.2024.123940
Environmental Reconstruction of Undercoordinated 2D MOF Based Nickel for Efficient Urea Oxygen Reaction;"Ge, K; Geng, Y X; Zhao, Y; Wang, Z Z; Wang, J J; Guo, Y C; Yang, M T; Cui, H; Hu, Y D; Shen, B X; Yang, Y F";2025;"ELECTROOXIDATION; Environmental Reconstruction; OXIDATION; Synergistic Engineering; Undercoordinated 2D MOFs; Urea Oxidation Reaction";The sluggish kinetics of the six-electron transfer process and the inevitable self-oxidation reaction of Ni species (NSOR) during the urea oxygen reaction (UOR) necessitate the development of efficient urea oxidation electrocatalysts. This study introduces a mild chemical modulation strategy, which is used to trigger the occurrence of UOR before NSOR via an environmental reconstruction of the undercoordinated 2D CoNi-MOF to CoNi-MOF@CoNi(OH)(2). In situ spectroscopic characterization and density functional theory (DFT) calculations reveal that the formation of metal hydroxides and the introduction of abundant oxygen defects on the surface of the 2D CoNi-MOF can optimize the electronic structure and significantly enhance the catalyst's adsorption capacity for urea molecules. The fabricated catalyst exhibits outstanding urea oxidation performance, achieving a remarkably low potential of 1.278 V at 10 mA cm(-2) and an ultra-low Tafel slope of 11.2 mV dec(-1), thus outperforming most reported metal oxides and hydroxides. These findings offer profound insights into the design and application of transition metal-based catalysts, particularly for advancing electrochemical hydrogen production and the efficient treatment of urea-rich wastewater.;10.1002/adfm.202505346
Synergistic yield of dual energy forms through biocatalyzed electrofermentation of waste: Stoichiometric analysis of electron and carbon distribution;"Nikhil, G N; Subhash, G V; Yeruva, D K; Mohan, S V";2015;"ANODE; BIOELECTRICITY; BIOHYDROGEN PRODUCTION; Bioelectricity; Biohydrogen; CONVERSION; ELECTROCHEMICAL SYSTEMS; Electron capture; Electron sink; HYDROGEN-PRODUCTION; MICROBIAL FUEL-CELLS; POWER-GENERATION; Proton harvest; SUBSTRATE; WATER TREATMENT";A novel BEF (biocatalyzed electrofermentor) is designed by hybridizing the functional properties of both MFC (microbial fuel cell) and acidogenic fermentation process (APP). This prototype facilitates potential synergy between the electrogenic and acidogenic processes to recover biohydrogen and bioelectricity with simultaneous wastewater treatment. The BEF was operated in three circuitry modes of operation viz., OC (open circuit), SC (short circuit) and CC (closed circuit) and the performance was compared with a control (without electrode assembly) with DSW (designed synthetic wastewater) having an organic load of 5000 mgL(-1). In comparison with other test conditions, CC mode with fixed external resistance (300 0) gave highest yields of power density (72 mW m(-2)) and biohydrogen production (343 mL). Besides, the BEF performance was sustained by the innate buffering capacity and the substrate-linked dehydrogenase enzyme activity. The CC mode comparatively excelled because it facilitates congenial ambiance for the enriched EAB (electroactive bacteria) resulting high rate of metabolic activity that paves way for higher substrate degradation and product conversion efficiency. The empirical analysis of electron and carbon distribution was in good agreement with the experimental results. The electron delivery kinetics studied using voltammetric technique confirmed electron transfer by the membrane bound redox mediators. The designed biocatalyzed electrofermentation unravels the scope to harness dual forms of energy along with waste remediation. (C) 2015 Elsevier Ltd. All rights reserved.;10.1016/j.energy.2015.05.043
Constructing built-in electric field in heterogeneous interface of V2O5/ MnFePBA for efficient oxygen evolution reaction and urea oxidation reaction;"Shi, Y F; Tang, F Q; Liang, L L; Zhu, J K; Jiang, J H; Bao, F X; Shi, C H; Yu, F; Hu, L B";2025;"Built-in electric field; MnFe prussian blue analogue; Oxygen evolution reaction; Urea oxidation reaction; V2O5";Developing heterojunction electrocatalysts with built-in electric field (BIEF) as bifunctional electrocatalysts for oxygen evolution reaction (OER) and urea oxidation reaction (UOR) to achieve clean hydrogen production and urea-containing wastewater degradation remains a significant challenge. Herein, we have ingeniously coated V2O5 on the surface of MnFe Prussian blue analogue (MnFePBA) nanospheres forming a heterojunction (V2O5/ MnFePBA) via a simple hydrothermal method, and meanwhile BIEF formed within a heterojunction, which was characterized by series of characterizations. Benefiting from the BIEF influence, the V2O5/MnFePBA electrocatalyst required merely 260 mV of overpotential to realized a high current density (100 mA cm(-2)) in an electrolyte of 1.0 M KOH. What's more important, at the same high current density, V2O5/MnFePBA also delivered a potential of 1.36 V vs. RHE in a mixed electrolyte composed by 1.0 M KOH and 0.5 M urea. DFT calculations further demonstrated that BIEF could effectively adjust the electronic structure, induce the movement of the d-band center, and optimize intermediate adsorption, thereby decreasing the energy barrier favorable for the rate-determining step, which could accelerated the OER/UOR kinetics rates, thus V2O5/MnFePBA as a bifunctional electrocatalyst realized an efficient catalysis for OER and UOR. This work offers a promising approach to construct heterojunction with BIEF for enhancing both OER and UOR performance to produce green hydrogen and address urea-containing wastewater.;10.1016/j.ijhydene.2025.05.185
Construction of Fe regulated NiMoN nanorods as an efficient electrocatalyst for overall water splitting and urea electrolysis;"Liu, L L; Chen, L L; Zhang, H M; Humayun, M; Liu, Y X; Duan, J H; Fu, Y J; Bououdina, M; Xue, X Y; Wang, C D";2026;"HIGHLY EFFICIENT; HYDROGEN; NANOSHEET";Rational design of low-cost, highly-efficient electrocatalysts for the hydrogen and oxygen evolution reactions (HER/OER) is critical to enable sustainable hydrogen production via water electrolysis. Herein, a novel nanorod array catalyst, Fe-NiMoN, has been rationally designed and directly grown on nickel foam (NF) via a facile hydrothermal method followed by nitridation treatment. The novel 3D porous nanorod architecture is favorable for providing abundant active sites, accelerating mass diffusion/electron transfer, and facilitating gas release. In addition, density functional theory (DFT) simulations reveal that Fe doping shifts the d-band center of NiMoN away from the Fermi level compared to the undoped NiMoN, thereby reducing the hydrogen adsorption free energy (Delta GH*) toward 0, which in turn enhances the HER activity. Consequently, the Fe-NiMoN catalyst delivers exceptional bifunctional electrocatalytic activity in alkaline media, requiring low overpotentials of 17 mV (HER) and 238 mV (OER) to achieve 10 mA cm-2. Notably, the Fe-NiMoN catalyst assembled into a two-electrode alkaline electrolyzer requires a voltage of only 1.504 V to achieve a current density value of 10 mA cm-2, with no performance declining after 100 h of steady operation. Moreover, for urea-assisted electrolysis, it can deliver 10 mA cm-2 at only 1.367 V. Overall, this work provides a strategy for synthesizing desirable electrocatalysts for green hydrogen production coupled with wastewater treatment.;10.1039/d5nr03552j
